pressure (0.1mm),x,,calib current (A),x,,,,,
6503,0.06,,0,-0.00588235,,,,,
6255,0.144706,,0.1,0.502353,,,,,
5997,0.238824,,0.2,1.01059,,,,,
5749,0.323529,,0.3,1.51882,,,,,
5513,0.422353,,0.4,2.02235,,,,,
5254,0.516471,,0.518,2.62471,,,,,
5006,0.605882,,0.599,3.03882,,,,,
4750,0.7049412,,0.7,3.54706,,,,,
4500,0.812941,,0.8,4.06,,,,,
4243,0.921176,,0.9,4.56353,,,,,
4020,1.02,,0.999,5.07176,,,,,
3758,1.15176,,,,,,,,
3501,1.26,,,,,,,,
3259,1.38235,,,,,Torr,T,I (in x),Magnetic Field
2999,1.50941,,P(V),T(K),,650.3,4.061,0.06,
2753,1.65059,,0.031,1.473,,625.5,4.021,0.144706,
2495,1.78235,,0.035,1.498,,599.7,3.98,0.238824,
2261,1.93294,,0.047,1.561,,574.9,3.938,0.323529,
2012,2.07882,,0.078,1.68,,551.3,3.898,0.422353,
1762,2.23882,,0.156,1.869,,525.4,3.852,0.516471,
1503,2.41294,,0.315,2.105,,500.6,3.807,0.605882,
1257,2.59647,,0.51,2.305,,475,3.759,0.7049412,
1009,2.80353,,0.765,2.498,,450,3.71,0.812941,
769,3.03412,,1.005,2.644,,424.3,3.657,0.921176,
510,3.27412,,1.257,2.772,,402,3.61,1.02,
315,3.57059,,1.503,2.882,,375.8,3.553,1.15176,
156,3.84824,,1.762,2.984,,350.1,3.493,1.26,
78,4.0553,,2.012,3.074,,325.9,3.435,1.38235,
47,4.16353,,2.261,3.157,,299.9,3.369,1.50941,
35,4.20588,,2.495,3.228,,275.3,3.302,1.65059,
31,4.23412,,2.753,3.302,,249.5,3.228,1.78235,
,,,2.999,3.369,,226.1,3.157,1.93294,
,,,3.259,3.435,,201.2,3.074,2.07882,
,,,3.501,3.493,,176.2,2.984,2.23882,
,,,3.758,3.553,,150.3,2.882,2.41294,
,,,,,,125.7,2.772,2.59647,
,,,,,,100.9,2.646,2.80353,
,,,,,,76.9,2.501,3.03412,
,,,,,,51,2.305,3.27412,
,,,,,,31.5,2.105,3.57059,
,,,,,,15.6,1.869,3.84824,
,,,,,,7.8,1.68,4.0553,
,,,,,,4.7,1.561,4.16353,
,,,,,,3.5,1.498,4.20588,
,,,,,,3.1,1.473,4.23412,